location,num_postings,posting_ids,number_of_sweeps,geometry
Pippin St between 100th Ave and Stone St,1,[ 55 ],1,"LINESTRING (-122.1790479 37.7376947, -122.1779313 37.7367201)"
100th Ave between San Leandro St and Pippin St,1,[ 64 ],1,"LINESTRING (-122.1790479 37.7376947, -122.1784411 37.7381319)"
Pippin St between Prune St and 100th Ave,1,[ 56 ],1,"LINESTRING (-122.1790479 37.7376947, -122.1796169 37.738193)"
Prune St between Pippin St and Pearmain St,1,[ 61 ],1,"LINESTRING (-122.180257 37.7377288, -122.1796169 37.738193)"
San Leandro St between 100th Ave and Stone St,2,[  58 1227],2,"LINESTRING (-122.1784411 37.7381319, -122.1775839213537 37.73742845916529, -122.17753894908896 37.737309908600096, -122.1773696 37.7371285)"
San Leandro St between Prune St and 100th Ave,2,[  59 1226],2,"LINESTRING (-122.1784411 37.7381319, -122.1790333 37.738614)"
Prune St between San Leandro St and Pippin St,1,[ 62 ],1,"LINESTRING (-122.1796169 37.738193, -122.1790333 37.738614)"
Nevada St between Railroad Ave and Walter Ave,1,[ 54 ],1,"LINESTRING (-122.1825084 37.7382765, -122.1834082 37.7376248)"
Railroad Ave between Tyler St and Nevada St,2,[ 47 107],2,"LINESTRING (-122.1825084 37.7382765, -122.1832035 37.7388816)"
Pearmain St between 98th Ave and Prune St,1,[ 75 ],1,"LINESTRING (-122.1809469 37.7383233, -122.180257 37.7377288)"
E St between 102nd and 103rd Ave,1,[ 1150 ],1,"LINESTRING (-122.17423 37.7384181, -122.17392414386381 37.738052675657826, -122.1736252 37.7376387)"
International Blvd between 106th Ave and 107th Ave,3,[1223 1232 1270],3,"LINESTRING (-122.1663301 37.7386073, -122.1659024 37.7380362)"
Pippin St between 98th Ave and Prune St,1,[ 57 ],1,"LINESTRING (-122.1802662 37.7387516, -122.1796169 37.738193)"
Walter Ave between S Elmhurst Ave and Tyler St,1,[ 1871 ],1,"LINESTRING (-122.1847822 37.73882529999999, -122.1841067 37.738234)"
Tyler st between Railroad Ave and Walter Ave,1,[ 77 ],1,"LINESTRING (-122.1832035 37.7388816, -122.1841067 37.738234)"
E St between 101st Ave and 102nd Ave,2,[1151 1230],2,"LINESTRING (-122.1747656 37.7389952, -122.17423 37.7384181)"
San Leandro St between 98th Ave and Prune St,2,[  60 1225],2,"LINESTRING (-122.1797471 37.739198, -122.1790333 37.738614)"
International Blvd between 105th Ave and 106th Ave,3,[1224 1233 1269],3,"LINESTRING (-122.16678046084598 37.73921988965652, -122.1663301 37.7386073)"
Walter Ave between Clara St and S Elmhurst Ave,1,[ 1870 ],1,"LINESTRING (-122.1854754 37.7394348, -122.1847822 37.73882529999999)"
Walter Ave between Louisiana St and Clara St,1,[ 1869 ],1,"LINESTRING (-122.1854754 37.7394348, -122.1861887 37.7400471)"
Railroad Ave between S Elmurst Ave and Tyler St,2,[ 48 108],2,"LINESTRING (-122.1838809 37.739472, -122.1832035 37.7388816)"
E St between 100th Ave and 101st Ave,2,[1152 1231],2,"LINESTRING (-122.1753335 37.7396017, -122.1747656 37.7389952)"
Railroad Ave between Clara St and S Elmurst Ave,2,[ 49 109],2,"LINESTRING (-122.1845781 37.7400791, -122.1838809 37.739472)"
Railroad Ave between Louisana St and Clara St,2,[ 50 110],2,"LINESTRING (-122.1845781 37.7400791, -122.1852795 37.7406871)"
MacArthur Blvd between Talbot Ave and 106th Ave,1,[ 114 ],1,"LINESTRING (-122.1525024 37.7429692, -122.1529159 37.7433898)"
Foothill Blvd between 108th Ave and Durant Ave,1,[ 100 ],1,"LINESTRING (-122.1472784 37.743237, -122.14705467791278 37.743080178802025, -122.1465271 37.7424824)"
B St between 97th Ave and 98th,1,[ 1322 ],1,"LINESTRING (-122.174434 37.7434917, -122.1739076 37.7427774)"
Talbot Ave between MacArthur Blvd and Fisher Ave,1,[ 101 ],1,"LINESTRING (-122.1517661 37.744103, -122.1529159 37.7433898)"
Talbot Ave between Fisher Ave and Foothill Blvd,1,[ 102 ],1,"LINESTRING (-122.1517661 37.744103, -122.1501876 37.7450458)"
MacArthur Blvd between Fisher Ave & Talbot Ave,1,[ 115 ],1,"LINESTRING (-122.153656 37.7441324, -122.1529159 37.7433898)"
MacArthur Blvd between Foothill Blvd & Fisher Ave,1,[ 116 ],1,"LINESTRING (-122.153656 37.7441324, -122.15420981738183 37.744583278214975, -122.15485560687392 37.74497042600305, -122.15514 37.74521)"
Fisher Ave between Frazier Ave and Talbot Ave,1,[ 105 ],1,"LINESTRING (-122.1528233 37.7443633, -122.15203951887648 37.74432897159297, -122.15196522003983 37.74429609854497, -122.1517661 37.744103)"
Fisher Ave between MacArthur Blvd and Frazier Ave,1,[ 104 ],1,"LINESTRING (-122.1528233 37.7443633, -122.15324169615292 37.744357144998254, -122.153656 37.7441324)"
Frazier Ave between Fisher Ave and Foothill Blvd,1,[ 103 ],1,"LINESTRING (-122.1528233 37.7443633, -122.15279359185722 37.74511388386531)"
Foothill Blvd between Talbot Ave and 106th Ave,1,[ 98 ],1,"LINESTRING (-122.14958495092915 37.74465416394315, -122.1501876 37.7450458)"
96th Ave between A St and International Blvd,1,[ 1904 ],1,"LINESTRING (-122.1732991 37.7449811, -122.1716319 37.7457505)"
International Blvd between 96th Ave and 97th Ave,6,[1696 1717 1905 1946 2056 2131],6,"LINESTRING (-122.1716319 37.7457505, -122.1710802 37.7450635)"
E St between 91st Ave and 92nd Ave,1,[ 1560 ],1,"LINESTRING (-122.1804152 37.7462398, -122.1798969 37.7456038)"
91st Ave between International Blvd & A St,1,[ 1127 ],1,"LINESTRING (-122.1758998 37.7483516, -122.1741605 37.7491628)"
90th Ave between International Blvd & A St,1,[ 1128 ],1,"LINESTRING (-122.1763889 37.7490084, -122.1746566 37.749817)"
International Blvd between 90th Ave and 91st Ave,1,[ 1122 ],1,"LINESTRING (-122.1746566 37.749817, -122.1741605 37.7491628)"
International Blvd between 89th Ave and 90th Ave,1,[ 1123 ],1,"LINESTRING (-122.17506736672186 37.75049627075877, -122.17442863468231 37.749638648149784)"
International Blvd between 88th Ave and 89th Ave,1,[ 1124 ],1,"LINESTRING (-122.1755541457447 37.75115633558727, -122.17496034904723 37.750332924396304)"
89th Ave between International Blvd & Holly St,1,[ 1129 ],1,"LINESTRING (-122.1733223 37.751099, -122.1748903 37.7503719)"
International Blvd between 87th Ave and 88th Ave,1,[ 1125 ],1,"LINESTRING (-122.1760219120395 37.75180999326574, -122.17546639245055 37.75102761396565)"
86th Ave between International Blvd & A St,5,[ 529  586  598  647 1131],2,"LINESTRING (-122.1784089 37.75173059999999, -122.17668461398654 37.75253739941244)"
88th Ave between Holly St and International Blvd (Elmhurst Library),1,[ 1139 ],1,"LINESTRING (-122.1738307 37.7517841, -122.17538379592256 37.75105339509884)"
87th Ave between Holly St and International Blvd,1,[ 295 ],1,"LINESTRING (-122.1743049 37.7524192, -122.1758456 37.75169169999999)"
A St between 85th Ave and 86th Ave,4,[530 587 599 648],1,"LINESTRING (-122.1789706 37.7524852, -122.1784089 37.75173059999999)"
85th Ave between International Blvd & A St,5,[ 528  585  597  646 1132],2,"LINESTRING (-122.1789706 37.7524852, -122.1770832 37.7533636)"
International Blvd between 86th Ave and 87th Ave,1,[ 1126 ],1,"LINESTRING (-122.1767427 37.7529036, -122.1758456 37.75169169999999)"
Auseon Ave between International Blvd & Holly St,1,[ 1130 ],1,"LINESTRING (-122.1747411 37.753009, -122.1762868 37.7522877)"
